model,year,price,transmission,mileage,fueltype,tax,mpg,enginesize,wiek_auta,przebieg_na_rok,automat,diesel,cena_na_1000_km,log_cena,log_przebieg,segment_silnika
 3 Series,2017,16500,Manual,16570,Diesel,125,58.9,2.0,3,5523.333333333333,0,1,995.7754978877489,9.711115659888671,9.715409458629793,1.6-2.0
 3 Series,2017,14250,Automatic,55594,Other,135,148.7,2.0,3,18531.333333333332,1,0,256.32262474367735,9.564512185696797,10.925848548137349,1.6-2.0
 3 Series,2017,16000,Automatic,45456,Diesel,30,64.2,2.0,3,15152.0,1,1,351.98873636043646,9.680344001221918,10.724522103148011,1.6-2.0
 1 Series,2017,15500,Automatic,22812,Diesel,20,68.9,1.5,3,7604.0,1,1,679.466947220761,9.648595302907339,10.035085827892875,<=1.5
 4 Series,2014,14000,Automatic,47348,Diesel,125,60.1,2.0,6,7891.333333333333,1,1,295.68302779420463,9.546812608597396,10.765300979067026,1.6-2.0
 1 Series,2015,9700,Automatic,75124,Diesel,20,70.6,2.0,5,15024.8,1,1,129.119855172781,9.179881164491475,11.226908671837508,1.6-2.0
 3 Series,2015,12600,Automatic,78957,Diesel,30,62.8,2.0,5,15791.4,1,1,159.58053117519663,9.441452092939569,11.276671344505923,1.6-2.0
 3 Series,2016,15100,Automatic,29213,Diesel,30,64.2,2.0,4,7303.25,1,1,516.8931640023277,9.622450022803015,10.282403325410757,1.6-2.0
 1 Series,2016,9400,Manual,44498,Diesel,0,83.1,1.5,4,11124.5,0,1,211.24544923367344,9.148464968258095,10.703221995991722,<=1.5
 1 Series,2016,14300,Automatic,22461,Diesel,20,67.3,2.0,4,5615.25,1,1,636.6590979920752,9.568014816247999,10.019580271522981,1.6-2.0
 1 Series,2016,11200,Manual,23005,Petrol,125,53.3,1.5,4,5751.25,0,0,486.8506846337753,9.323669057283185,10.043510330455955,<=1.5
 3 Series,2019,17800,Automatic,22310,Diesel,145,64.2,2.0,1,22310.0,1,1,797.8484984311968,9.786953736280177,10.01283510937141,1.6-2.0
 3 Series,2016,14400,Automatic,51994,Diesel,30,62.8,2.0,4,12998.5,1,1,276.95503327306994,9.574983485564092,10.858902839094332,1.6-2.0
 X5,2016,19750,Automatic,96213,Diesel,165,52.3,2.0,4,24053.25,1,1,205.27371561015664,9.890908770329268,11.474330156210844,1.6-2.0
 X3,2015,17400,Automatic,50316,Diesel,200,47.9,3.0,5,10063.2,1,1,345.8144526591939,9.764225485202621,10.8260982711551,2.6-3.0
 4 Series,2017,16800,Automatic,44011,Diesel,150,65.7,2.0,3,14670.333333333334,1,1,381.7227511303992,9.72913416539135,10.692217602989803,1.6-2.0
 X4,2017,23000,Automatic,34960,Diesel,150,54.3,2.0,3,11653.333333333334,1,1,657.8947368421052,10.043249494911286,10.461988433479375,1.6-2.0
 i3,2016,17100,Automatic,25269,Other,0,470.8,0.6,4,6317.25,1,0,676.7185088448297,9.746833742490752,10.13737320038224,<=1.5
 1 Series,2017,20500,Automatic,24029,Petrol,145,39.8,3.0,3,8009.666666666667,1,0,853.1357942486162,9.9281801651265,10.087058328730514,2.6-3.0
 1 Series,2017,11900,Manual,22920,Petrol,145,53.3,1.5,3,7640.0,0,0,519.197207678883,9.38429367909962,10.039808799894367,<=1.5
 2 Series,2017,13000,Automatic,61818,Other,0,141.2,1.5,3,20606.0,1,0,210.29473616098872,9.472704636443673,11.031966039560452,<=1.5
 3 Series,2015,11500,Manual,59634,Diesel,125,61.4,2.0,5,11926.8,0,1,192.84300902169903,9.350102314351341,10.99599792901277,1.6-2.0
 1 Series,2016,13500,Manual,29226,Diesel,30,62.8,2.0,4,7306.5,0,1,461.91747074522686,9.51044496442652,10.282848218558184,1.6-2.0
 X1,2017,18900,Automatic,33514,Diesel,145,60.1,2.0,3,11171.333333333334,1,1,563.9434266276779,9.846917201047734,10.419748378792058,1.6-2.0
 1 Series,2018,14600,Automatic,6522,Petrol,145,37.2,1.5,2,3261.0,1,0,2238.5771235817233,9.588776807696428,8.783089671796096,<=1.5
 3 Series,2016,15800,Manual,11231,Petrol,145,47.9,2.0,4,2807.75,0,0,1406.8204077998398,9.667765219015058,9.326522126265592,1.6-2.0
 1 Series,2016,11400,Manual,21591,Petrol,125,53.3,1.5,4,5397.75,0,0,527.9977768514659,9.341368634382587,9.980078154697841,<=1.5
 X3,2013,12000,Automatic,79972,Diesel,200,47.1,3.0,7,11424.57142857143,1,1,150.05251838143352,9.392661928770137,11.289444356690076,2.6-3.0
 1 Series,2018,17500,Automatic,14037,Petrol,145,54.3,1.5,2,7018.5,1,0,1246.705136425162,9.769956159911606,9.549523217290366,<=1.5
 5 Series,2017,23500,Automatic,25034,Diesel,200,47.9,3.0,3,8344.666666666666,1,1,938.7233362626828,10.06475570013225,10.128030124764045,2.6-3.0
 X1,2016,16700,Automatic,44478,Diesel,125,60.1,2.0,4,11119.5,1,1,375.4665227753046,9.723163998404846,10.70277244665735,1.6-2.0
 X3,2017,18000,Automatic,74852,Diesel,150,47.1,3.0,3,24950.666666666668,1,1,240.47453641853255,9.798127036878302,11.223281469204906,2.6-3.0
 4 Series,2016,15500,Automatic,45856,Diesel,30,65.7,2.0,4,11464.0,1,1,338.01465457083043,9.648595302907339,10.73328313778719,1.6-2.0
 1 Series,2016,9200,Manual,48858,Diesel,0,83.1,1.5,4,12214.5,0,1,188.3007900446191,9.126958763037132,10.796693877962909,<=1.5
 1 Series,2017,11200,Manual,40399,Diesel,145,68.9,2.0,3,13466.333333333334,0,1,277.23458501448056,9.323669057283185,10.606585063949241,1.6-2.0
 1 Series,2016,13200,Manual,17393,Diesel,30,65.7,2.0,4,4348.25,0,1,758.9260047145403,9.487972108574462,9.76388059814971,1.6-2.0
 5 Series,2014,11000,Automatic,84816,Diesel,30,62.8,2.0,6,14136.0,1,1,129.69251084701,9.305650551780507,11.348251273386342,1.6-2.0
 3 Series,2017,18500,Automatic,27139,Diesel,160,51.4,3.0,3,9046.333333333334,1,1,681.675817089797,9.825526011066415,10.20876393338886,2.6-3.0
 1 Series,2017,12750,Automatic,91563,Diesel,125,60.1,2.0,3,30521.0,1,1,139.24838635693456,9.453286550586572,11.424793460311896,1.6-2.0
 3 Series,2014,14000,Manual,32139,Petrol,205,43.5,2.0,6,5356.5,0,0,435.6078284949749,9.546812608597396,10.377856639291503,1.6-2.0
 X1,2017,14000,Automatic,54120,Diesel,30,65.7,2.0,3,18040.0,1,1,258.68440502586844,9.546812608597396,10.89897755957152,1.6-2.0
 X1,2017,14000,Manual,20925,Diesel,150,68.9,2.0,3,6975.0,0,1,669.0561529271206,9.546812608597396,9.948747683940992,1.6-2.0
 3 Series,2016,12750,Manual,30521,Diesel,20,68.9,2.0,4,7630.25,0,1,417.7451590708037,9.453286550586572,10.32620301405082,1.6-2.0
 X1,2018,18000,Manual,16066,Petrol,150,51.4,1.5,2,8033.0,0,0,1120.3784389393752,9.798127036878302,9.684522758043336,<=1.5
 1 Series,2015,11100,Manual,11524,Diesel,0,83.1,1.5,5,2304.8,0,1,963.2072197153767,9.314700387300425,9.352273867864849,<=1.5
 1 Series,2017,12700,Manual,21809,Petrol,145,53.3,1.5,3,7269.666666666667,0,0,582.3283965335412,9.449357272446683,9.990123859195675,<=1.5
 1 Series,2017,14500,Automatic,27245,Diesel,145,68.9,2.0,3,9081.666666666666,1,1,532.2077445402826,9.581903928408666,10.212662000326006,1.6-2.0
 3 Series,2013,12750,Automatic,35736,Diesel,125,58.9,2.0,7,5105.142857142857,1,1,356.783075889859,9.453286550586572,10.483941845626783,1.6-2.0
 X1,2017,14100,Automatic,55782,Diesel,145,65.7,2.0,3,18594.0,1,1,252.76971065935248,9.55393007636626,10.929224442453062,1.6-2.0
 1 Series,2016,10800,Manual,26404,Petrol,125,53.3,1.5,4,6601.0,0,0,409.028935009847,9.287301413112312,10.181308665141033,<=1.5
 1 Series,2016,13000,Manual,26631,Petrol,125,52.3,1.5,4,6657.75,0,0,488.1529045097818,9.472704636443673,10.18986877925486,<=1.5
 1 Series,2016,12500,Manual,24111,Petrol,145,47.1,1.6,4,6027.75,0,0,518.4355688275061,9.433483923290392,10.090464920866276,1.6-2.0
 3 Series,2017,13600,Manual,22763,Petrol,145,48.7,2.0,3,7587.666666666667,0,0,597.4607916355488,9.517825071724143,10.032935619723014,1.6-2.0
 3 Series,2016,12700,Manual,17385,Diesel,20,72.4,2.0,4,4346.25,0,1,730.5148116192119,9.449357272446683,9.76342056363901,1.6-2.0
 5 Series,2016,15600,Automatic,35474,Diesel,125,60.1,2.0,4,8868.5,1,1,439.7586965101201,9.655026193237628,10.476583502028243,1.6-2.0
 4 Series,2016,15250,Manual,16584,Diesel,30,62.8,2.0,4,4146.0,0,1,919.5610226724554,9.632334782035558,9.716253951381153,1.6-2.0
 1 Series,2018,11700,Manual,30273,Diesel,145,53.3,1.5,2,15136.5,0,1,386.4830046576157,9.367344120785848,10.31804453732251,<=1.5
 2 Series,2017,10900,Manual,62021,Diesel,145,65.7,2.0,3,20673.666666666668,0,1,175.7469244288225,9.296518068217235,11.03524443979654,1.6-2.0
 5 Series,2016,14400,Automatic,51552,Diesel,30,62.8,2.0,4,12888.0,1,1,279.3296089385475,9.574983485564092,10.850365683678074,1.6-2.0
 1 Series,2016,11100,Manual,29508,Petrol,125,53.3,1.5,4,7377.0,0,0,376.1691744611631,9.314700387300425,10.292450580544786,<=1.5
 1 Series,2017,11100,Manual,30865,Diesel,145,72.4,1.5,3,10288.333333333334,0,1,359.6306496031103,9.314700387300425,10.337410533460776,<=1.5
 5 Series,2014,12400,Automatic,46356,Diesel,30,62.8,2.0,6,7726.0,1,1,267.4950383984813,9.425451751593128,10.744127584402122,1.6-2.0
 1 Series,2016,12800,Manual,18343,Diesel,20,70.6,1.5,4,4585.75,0,1,697.813879954206,9.457200449907708,9.81705782453774,<=1.5
 5 Series,2014,15000,Automatic,13858,Diesel,125,57.6,2.0,6,2309.6666666666665,1,1,1082.4072737768797,9.615805480084347,9.536690120068803,1.6-2.0
 2 Series,2017,12750,Manual,33752,Petrol,125,52.3,1.5,3,11250.666666666666,0,0,377.75539227305046,9.453286550586572,10.426824581239181,<=1.5
 X3,2016,21750,Automatic,19083,Diesel,150,54.3,2.0,4,4770.75,1,1,1139.757899701305,9.98736903651683,9.856605566635997,1.6-2.0
 2 Series,2017,13900,Automatic,46281,Petrol,125,51.4,1.5,3,15427.0,1,0,300.33923208228,9.539644119118783,10.742508395585617,<=1.5
 X1,2017,14000,Automatic,54183,Diesel,150,65.7,2.0,3,18061.0,1,1,258.38362586050977,9.546812608597396,10.90014094089474,1.6-2.0
 X1,2017,15200,Automatic,36701,Diesel,30,65.7,2.0,3,12233.666666666666,1,1,414.1576523800441,9.629050706834368,10.51058652847062,1.6-2.0
 3 Series,2017,13500,Automatic,48082,Petrol,150,51.4,2.0,3,16027.333333333334,1,0,280.77035065097124,9.51044496442652,10.780683963269196,1.6-2.0
 X1,2016,12150,Manual,77482,Diesel,20,68.9,2.0,4,19370.5,0,1,156.81061407810847,9.405084448768694,11.257813836440937,1.6-2.0
 2 Series,2017,16000,Automatic,32389,Other,0,141.2,1.5,3,10796.333333333334,1,0,493.9948748031739,9.680344001221918,10.385605012165374,<=1.5
 5 Series,2016,14000,Automatic,39235,Diesel,30,62.8,2.0,4,9808.75,1,1,356.8242640499554,9.546812608597396,10.577349971684207,1.6-2.0
 3 Series,2018,19490,Automatic,30703,Diesel,145,57.6,2.0,2,15351.5,1,1,634.7913884636681,9.877656792501606,10.33214821824748,1.6-2.0
 1 Series,2015,15499,Semi-Auto,20000,Diesel,125,60.1,2.0,5,4000.0,0,1,774.95,9.648530784697051,9.90353755128617,1.6-2.0
 2 Series,2017,13000,Semi-Auto,34971,Diesel,150,72.4,1.5,3,11657.0,0,1,371.7365817391553,9.472704636443673,10.462303020300782,<=1.5
 1 Series,2014,10600,Semi-Auto,44900,Diesel,30,64.2,2.0,6,7483.333333333333,0,1,236.0801781737194,9.268609280100158,10.712215345197256,1.6-2.0
 X3,2017,23000,Semi-Auto,16945,Diesel,150,54.3,2.0,3,5648.333333333333,0,1,1357.3325464738862,10.043249494911286,9.73778709675841,1.6-2.0
 M4,2016,29998,Semi-Auto,34209,Petrol,300,34.0,3.0,4,8552.25,0,0,876.9037387821918,10.308885991755306,10.44027327797165,2.6-3.0
 1 Series,2017,12498,Manual,14138,Diesel,20,72.4,1.5,3,4712.666666666667,0,1,884.0005658508983,9.433323910489028,9.556692215591841,<=1.5
 1 Series,2015,7948,Manual,74375,Diesel,30,65.7,2.0,5,14875.0,0,1,106.86386554621849,8.980675603671708,11.216888588135694,1.6-2.0
 X1,2017,17800,Automatic,31238,Diesel,145,55.4,2.0,3,10412.666666666666,1,1,569.8188104232025,9.786953736280177,10.349422593198005,1.6-2.0
 3 Series,2015,13100,Manual,37204,Diesel,30,64.2,2.0,5,7440.8,0,1,352.11267605633805,9.480367509189243,10.52419843983136,1.6-2.0
 1 Series,2017,11400,Manual,26265,Diesel,0,83.1,1.5,3,8755.0,0,1,434.0376927470017,9.341368634382587,10.176030606145105,<=1.5
 3 Series,2016,14800,Automatic,38838,Diesel,125,57.6,2.0,4,9709.5,1,1,381.0700859982491,9.602382459752207,10.567180175420875,1.6-2.0
 X3,2016,15900,Automatic,59692,Diesel,145,54.3,2.0,4,14923.0,1,1,266.36735240903306,9.674074388208323,10.996970039574707,1.6-2.0
 3 Series,2016,16300,Automatic,34623,Diesel,125,57.6,2.0,4,8655.75,1,1,470.78531611934267,9.698920386794853,10.452302362206153,1.6-2.0
 3 Series,2017,14800,Manual,29968,Diesel,30,64.2,2.0,3,9989.333333333334,0,1,493.86011745862254,9.602382459752207,10.307918793053995,1.6-2.0
 3 Series,2017,19700,Automatic,27748,Diesel,200,49.6,3.0,3,9249.333333333334,1,1,709.9610782759117,9.88837391472608,10.230955082489231,2.6-3.0
 3 Series,2015,14450,Automatic,47288,Diesel,30,62.8,2.0,5,9457.6,1,1,305.57435290137033,9.578449693540579,10.764032989294652,1.6-2.0
 5 Series,2016,13500,Automatic,64117,Diesel,30,65.7,2.0,4,16029.25,1,1,210.55258355818268,9.51044496442652,11.068480414721115,1.6-2.0
 5 Series,2015,10900,Automatic,79563,Diesel,125,60.1,2.0,5,15912.6,1,1,136.99835350602666,9.296518068217235,11.284317008224951,1.6-2.0
 3 Series,2016,12200,Manual,34842,Diesel,30,67.3,2.0,4,8710.5,0,1,350.15211526318814,9.409191230721348,10.458607535181294,1.6-2.0
 2 Series,2016,10600,Manual,24313,Diesel,0,74.3,1.5,4,6078.25,0,1,435.9807510385391,9.268609280100158,10.098807595115739,<=1.5
 2 Series,2015,9100,Manual,40789,Diesel,0,74.3,1.5,5,8157.8,0,1,223.09936502488415,9.116029692504942,10.616192232311604,<=1.5
 3 Series,2017,12600,Automatic,66743,Diesel,30,67.3,2.0,3,22247.666666666668,1,1,188.78384250033713,9.441452092939569,11.10861968458191,1.6-2.0
 5 Series,2016,13600,Automatic,65612,Diesel,30,62.8,2.0,4,16403.0,1,1,207.27915625190516,9.517825071724143,11.091529126030663,1.6-2.0
 1 Series,2016,11700,Manual,21390,Diesel,20,72.4,1.5,4,5347.5,0,1,546.984572230014,9.367344120785848,9.970725551801806,<=1.5
 3 Series,2017,12450,Automatic,72065,Diesel,20,70.6,2.0,3,24021.666666666668,1,1,172.76070214389787,9.429475901892854,11.185337644782546,1.6-2.0
 5 Series,2016,13500,Automatic,62444,Diesel,125,60.1,2.0,4,15611.0,1,1,216.19370956376912,9.51044496442652,11.042041448297185,1.6-2.0
 X3,2013,12750,Automatic,71558,Diesel,160,50.4,2.0,7,10222.57142857143,1,1,178.17714301685345,9.453286550586572,11.178277563237703,1.6-2.0
 X1,2017,16700,Automatic,34666,Diesel,145,65.7,2.0,3,11555.333333333334,1,1,481.740033462182,9.723163998404846,10.453543504793787,1.6-2.0
 1 Series,2016,11400,Manual,22920,Diesel,20,72.4,1.5,4,5730.0,0,1,497.38219895287955,9.341368634382587,10.039808799894367,<=1.5
 X5,2016,21000,Automatic,71626,Other,0,85.6,2.0,4,17906.5,1,0,293.18962387959675,9.95227771670556,11.179227376838364,1.6-2.0
 X1,2017,14700,Manual,38405,Diesel,145,68.9,2.0,3,12801.666666666666,0,1,382.7626611118344,9.595602772766828,10.555968976370059,1.6-2.0
 3 Series,2018,19000,Automatic,20681,Diesel,145,64.2,2.0,2,10340.5,1,1,918.7176635559208,9.852194258148577,9.937019035744921,1.6-2.0
 3 Series,2017,15400,Automatic,20529,Diesel,145,65.7,2.0,3,6843.0,1,1,750.1583126309124,9.642122788401721,9.929642510012979,1.6-2.0
 X3,2016,19000,Automatic,42691,Diesel,145,54.3,2.0,4,10672.75,1,1,445.0586774730036,9.852194258148577,10.661766828033855,1.6-2.0
 1 Series,2018,15000,Automatic,10058,Petrol,145,37.2,1.5,2,5029.0,1,0,1491.3501690196858,9.615805480084347,9.216223035134337,<=1.5
 3 Series,2016,17950,Automatic,40337,Diesel,145,53.3,3.0,4,10084.25,1,1,445.00086768971414,9.795345393916424,10.605049231697091,2.6-3.0
 5 Series,2018,22600,Automatic,23195,Diesel,145,65.7,2.0,2,11597.5,1,1,974.3479198103039,10.025705185260378,10.05173512899633,1.6-2.0
 1 Series,2017,13200,Manual,17117,Petrol,145,53.3,1.5,3,5705.666666666667,0,0,771.1631711164339,9.487972108574462,9.747885820441555,<=1.5
 3 Series,2017,12750,Manual,22153,Diesel,150,68.9,2.0,3,7384.333333333333,0,1,575.5428158714395,9.453286550586572,10.005773346076879,1.6-2.0
 3 Series,2015,9750,Manual,56038,Diesel,20,68.9,2.0,5,11207.6,0,1,173.98907883935902,9.185022563991893,10.933803155894871,1.6-2.0
 3 Series,2017,10900,Automatic,78345,Diesel,0,74.3,2.0,3,26115.0,1,1,139.12821494671007,9.296518068217235,11.268890193513466,1.6-2.0
 X4,2016,21400,Automatic,31084,Diesel,145,54.3,2.0,4,7771.0,1,1,688.4570840303693,9.971146201009942,10.344480666703438,1.6-2.0
 1 Series,2017,14600,Automatic,5615,Petrol,145,58.9,1.5,3,1871.6666666666667,1,0,2600.1780943900267,9.588776807696428,8.633374945705647,<=1.5
 3 Series,2017,12600,Automatic,55751,Petrol,150,51.4,1.5,3,18583.666666666668,1,0,226.00491471005006,9.441452092939569,10.928668563118356,<=1.5
 X4,2017,22500,Automatic,35016,Diesel,150,54.3,2.0,3,11672.0,1,1,642.5633995887595,10.021270588192511,10.463588936836263,1.6-2.0
 1 Series,2016,8000,Manual,81579,Diesel,0,83.1,1.5,4,20394.75,0,1,98.06445286164332,8.987196820661973,11.30933941287155,<=1.5
 X1,2017,14800,Manual,31518,Diesel,145,60.1,2.0,3,10506.0,0,1,469.57294244558665,9.602382459752207,10.358345817580213,1.6-2.0
 1 Series,2016,9900,Manual,44008,Diesel,0,83.1,1.5,4,11002.0,0,1,224.9590983457553,9.20029003612268,10.692149437438374,<=1.5
 2 Series,2016,9500,Manual,59509,Diesel,20,68.9,2.0,4,14877.25,0,1,159.63971836192846,9.159047077588632,10.993899644638898,1.6-2.0
 3 Series,2017,17950,Automatic,43703,Other,140,134.5,2.0,3,14567.666666666666,1,0,410.72695238313156,9.795345393916424,10.685194910075554,1.6-2.0
 1 Series,2016,14200,Automatic,36858,Diesel,125,60.1,2.0,4,9214.5,1,1,385.2623582397309,9.560997243589352,10.514855101175929,1.6-2.0
 1 Series,2016,12100,Automatic,25786,Diesel,0,74.3,2.0,4,6446.5,1,1,469.2468781509346,9.400960731584833,10.157625767952561,1.6-2.0
 1 Series,2016,12700,Automatic,24592,Diesel,20,68.9,2.0,4,6148.0,1,1,516.4281067013663,9.449357272446683,10.110217128582082,1.6-2.0
 1 Series,2016,8800,Manual,51002,Diesel,0,83.1,1.5,4,12750.5,0,1,172.54225324497077,9.082507000466299,10.83963973350584,<=1.5
 1 Series,2017,15000,Automatic,26052,Diesel,145,68.9,2.0,3,8684.0,1,1,575.7715338553662,9.615805480084347,10.16788820369854,1.6-2.0
 3 Series,2017,17100,Automatic,31528,Diesel,145,64.2,2.0,3,10509.333333333334,1,1,542.3750317178382,9.746833742490752,10.358663036209952,1.6-2.0
 X3,2017,21750,Automatic,25776,Diesel,200,47.9,3.0,3,8592.0,1,1,843.8081936685288,9.98736903651683,10.157237900443238,2.6-3.0
 1 Series,2016,13400,Manual,18055,Petrol,125,52.3,1.5,4,4513.75,0,0,742.1766823594572,9.503009985939002,9.801233318497372,<=1.5
 3 Series,2014,9900,Automatic,63223,Diesel,20,68.9,2.0,6,10537.166666666666,1,1,156.58858326874713,9.20029003612268,11.05443925488481,1.6-2.0
 1 Series,2016,13700,Manual,8719,Petrol,125,52.3,1.5,4,2179.75,0,0,1571.281110219062,9.525151111816216,9.073374516903025,<=1.5
 4 Series,2018,16900,Automatic,27133,Petrol,145,44.8,2.0,2,13566.5,1,0,622.8577746655365,9.735068900911164,10.208542833045254,1.6-2.0
 5 Series,2018,21950,Automatic,21947,Diesel,150,68.9,2.0,2,10973.5,1,1,1000.1366929420878,9.996522418503318,9.996431298178866,1.6-2.0
 X1,2013,8750,Manual,80625,Diesel,160,51.4,2.0,7,11517.857142857143,0,1,108.52713178294573,9.07680897935166,11.29757645712193,1.6-2.0
 3 Series,2017,17000,Automatic,31501,Other,0,134.5,2.0,3,10500.333333333334,1,0,539.6654074473826,9.740968623038354,10.35780631486168,1.6-2.0
 1 Series,2016,13750,Automatic,8707,Petrol,30,55.5,1.5,4,2176.75,1,0,1579.189158148616,9.528794103094718,9.071997422354437,<=1.5
 1 Series,2017,12800,Manual,10861,Petrol,125,53.3,1.5,3,3620.3333333333335,0,0,1178.528680600313,9.457200449907708,9.29302573859479,<=1.5
 4 Series,2017,16000,Manual,16359,Petrol,145,46.3,2.0,3,5453.0,0,0,978.054893330888,9.680344001221918,9.702594610156739,1.6-2.0
 4 Series,2017,16600,Automatic,46913,Diesel,145,65.7,2.0,3,15637.666666666666,1,1,353.8464817854326,9.717157974344635,10.756071417352569,1.6-2.0
 3 Series,2017,15100,Manual,37747,Diesel,125,60.1,2.0,3,12582.333333333334,0,1,400.031790605876,9.622450022803015,10.538687773141223,1.6-2.0
 4 Series,2017,16750,Manual,24882,Petrol,145,46.3,2.0,3,8294.0,0,0,673.1773973153283,9.726153537253213,10.121940118362215,1.6-2.0
 1 Series,2015,12450,Manual,24474,Petrol,125,52.3,1.5,5,4894.8,0,0,508.70311350821277,9.429475901892854,10.105407467398711,<=1.5
 3 Series,2018,15700,Automatic,29394,Petrol,145,48.7,2.0,2,14697.0,1,0,534.1226100564742,9.6614159913364,10.288579870836355,1.6-2.0
 5 Series,2016,12600,Manual,59528,Diesel,125,60.1,2.0,4,14882.0,0,1,211.6650987770461,9.441452092939569,10.994218867753363,1.6-2.0
 2 Series,2016,14600,Manual,15577,Petrol,160,44.1,2.0,4,3894.25,0,0,937.2793220774219,9.588776807696428,9.653614941479894,1.6-2.0
 X1,2016,13700,Manual,52226,Diesel,20,68.9,2.0,4,13056.5,0,1,262.3214490866618,9.525151111816216,10.863354881526828,1.6-2.0
 3 Series,2017,16900,Automatic,12330,Diesel,30,64.2,2.0,3,4110.0,1,1,1370.640713706407,9.735068900911164,9.41987169587053,1.6-2.0
 4 Series,2015,15998,Semi-Auto,62943,Diesel,30,65.7,2.0,5,12588.6,0,1,254.16646807428944,9.680218993408767,11.050000721188786,1.6-2.0
 X1,2020,31498,Semi-Auto,1560,Diesel,145,60.1,2.0,0,1560.0,0,1,20191.02564102564,10.357679330734525,7.353081920515432,1.6-2.0
 2 Series,2020,27998,Manual,1580,Petrol,150,43.5,1.5,0,1580.0,0,0,17720.25316455696,10.23988835803477,7.365812837209472,<=1.5
 X5,2020,54998,Semi-Auto,1500,Diesel,150,37.7,3.0,0,1500.0,0,1,36665.333333333336,10.915052099917071,7.313886831633462,2.6-3.0
 3 Series,2014,11998,Manual,11545,Petrol,165,44.8,2.0,6,1924.1666666666667,0,0,1039.237765266349,9.392495248213038,9.354094335620879,1.6-2.0
 2 Series,2020,25998,Automatic,3160,Hybrid,140,113.0,1.5,0,3160.0,1,0,8227.215189873417,10.165774890967965,8.058643712215618,<=1.5
 1 Series,2020,31998,Semi-Auto,1560,Diesel,150,48.7,2.0,0,1560.0,0,1,20511.53846153846,10.373428679828658,7.353081920515432,1.6-2.0
 X2,2020,29998,Manual,1850,Diesel,150,49.6,2.0,0,1850.0,0,1,16215.135135135135,10.308885991755306,7.523481312573497,1.6-2.0
 X4,2019,33998,Semi-Auto,7272,Diesel,150,42.8,2.0,1,7272.0,0,1,4675.192519251925,10.434056978338715,8.89192414015454,1.6-2.0
 1 Series,2017,14995,Manual,19866,Diesel,30,65.7,2.0,3,6622.0,0,1,754.8072082955804,9.61547209118311,9.896815342768063,1.6-2.0
 4 Series,2016,17995,Semi-Auto,22476,Petrol,145,48.7,2.0,4,5619.0,0,0,800.6317850151273,9.79784922051313,10.020247843144828,1.6-2.0
 1 Series,2013,14498,Semi-Auto,42786,Petrol,235,37.7,3.0,7,6112.285714285715,0,0,338.84915626606835,9.581765987860823,10.663989597114305,2.6-3.0
 1 Series,2015,10998,Manual,42410,Diesel,30,65.7,2.0,5,8482.0,0,1,259.32563074746525,9.30546871706776,10.655163041535141,1.6-2.0
